YEAR,ST_CASE,PERSONS,HOUR,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1975,10001,4,20,0.0,0,1973.0,0.0,0.0
1975,10001,4,20,0.0,0,1969.0,0.0,0.0
1975,10001,4,20,0.0,0,1969.0,1.0,0.0
1975,10002,1,19,0.0,0,1971.0,1.0,0.0
1975,10003,2,22,0.0,0,1972.0,1.0,0.0
1975,10004,1,2,0.0,0,1960.0,1.0,0.0
1975,10005,2,1,0.0,0,1972.0,1.0,0.0
1975,10006,5,10,0.0,0,1966.0,1.0,0.0
1975,10006,5,10,0.0,0,1969.0,0.0,0.0
1975,10007,2,18,0.0,0,1975.0,1.0,0.0
1975,10008,2,14,0.0,0,1966.0,1.0,0.0
1975,10009,1,5,0.0,0,1964.0,0.0,0.0
1975,10010,4,23,0.0,0,1975.0,1.0,0.0
1975,10010,4,23,0.0,0,1969.0,0.0,0.0
1975,10011,3,1,0.0,0,1973.0,1.0,0.0
1975,10012,2,20,0.0,0,1972.0,0.0,0.0
1975,10012,2,20,0.0,0,1970.0,1.0,0.0
1975,10013,4,19,0.0,0,1973.0,1.0,0.0
1975,10014,2,19,0.0,0,1962.0,0.0,0.0
1975,10015,3,1,0.0,0,1972.0,0.0,0.0
1975,10016,2,17,0.0,0,1964.0,1.0,0.0
1975,10017,1,1,0.0,0,1965.0,0.0,0.0
1975,10018,3,22,0.0,0,1969.0,0.0,0.0
1975,10018,3,22,0.0,0,1972.0,1.0,0.0
1975,10019,2,1,0.0,0,1966.0,1.0,0.0
1975,10020,2,17,0.0,0,1968.0,1.0,0.0
1975,10021,2,22,0.0,0,1969.0,1.0,0.0
1975,10022,1,18,0.0,0,1964.0,0.0,0.0
1975,10023,1,7,0.0,0,1964.0,1.0,0.0
1975,10024,2,20,0.0,0,1970.0,1.0,0.0
1975,10024,2,20,0.0,0,1975.0,0.0,0.0
1975,10024,2,20,0.0,0,1968.0,0.0,0.0
1975,10025,2,14,0.0,0,1968.0,1.0,0.0
1975,10026,1,21,0.0,0,1971.0,0.0,1.0
1975,10026,1,21,0.0,0,1969.0,1.0,0.0
1975,10027,4,23,0.0,0,1972.0,1.0,0.0
1975,10028,2,17,0.0,0,1965.0,1.0,0.0
1975,10029,1,3,0.0,0,1970.0,0.0,0.0
1975,10030,2,18,0.0,0,1971.0,1.0,0.0
1975,10031,2,7,0.0,0,1974.0,0.0,0.0
1975,10031,2,7,0.0,0,1966.0,1.0,0.0
1975,10032,2,18,0.0,0,1960.0,3.0,0.0
1975,10034,2,12,0.0,0,1966.0,1.0,0.0
1975,10034,2,12,0.0,0,1967.0,0.0,0.0
1975,10035,2,17,0.0,0,1967.0,2.0,0.0
1975,10036,1,20,0.0,0,1967.0,0.0,0.0
1975,10037,3,5,0.0,0,1967.0,0.0,0.0
1975,10037,3,5,0.0,0,1963.0,1.0,0.0
1975,10037,3,5,0.0,0,1970.0,0.0,0.0
1975,10038,2,5,0.0,0,1968.0,1.0,0.0
1975,10039,3,13,0.0,0,1971.0,0.0,0.0
1975,10040,3,23,0.0,0,1975.0,1.0,0.0
1975,10040,3,23,0.0,0,1968.0,0.0,0.0
1975,10041,4,6,0.0,0,1969.0,0.0,0.0
1975,10041,4,6,0.0,0,1971.0,1.0,0.0
1975,10042,3,19,0.0,0,1970.0,0.0,0.0
1975,10043,1,10,0.0,0,1973.0,0.0,0.0
1975,10043,1,10,0.0,0,1966.0,1.0,0.0
1975,10044,2,19,0.0,0,1970.0,0.0,0.0
1975,10044,2,19,0.0,0,1973.0,1.0,0.0
1975,10045,2,20,0.0,0,1973.0,0.0,0.0
1975,10045,2,20,0.0,0,1967.0,1.0,0.0
1975,10046,4,15,0.0,0,1964.0,1.0,0.0
1975,10046,4,15,0.0,0,1964.0,0.0,0.0
1975,10047,1,12,0.0,0,1965.0,1.0,0.0
1975,10048,1,18,0.0,0,1975.0,1.0,0.0
1975,10048,1,18,0.0,0,1970.0,0.0,0.0
1975,10048,1,18,0.0,0,1969.0,0.0,0.0
1975,10049,2,4,0.0,0,1974.0,0.0,0.0
1975,10049,2,4,0.0,0,1969.0,2.0,0.0
1975,10050,2,23,0.0,0,1956.0,1.0,0.0
1975,10051,5,11,0.0,0,1968.0,0.0,0.0
1975,10051,5,11,0.0,0,1968.0,1.0,0.0
1975,10052,2,18,0.0,0,1972.0,0.0,0.0
1975,10053,2,22,0.0,0,1973.0,1.0,0.0
1975,10054,3,18,0.0,0,1972.0,0.0,0.0
1975,10054,3,18,0.0,0,1966.0,1.0,0.0
1975,10055,4,22,0.0,0,1964.0,1.0,0.0
1975,10055,4,22,0.0,0,1969.0,0.0,0.0
1975,10056,5,22,0.0,0,1967.0,1.0,0.0
1975,10057,2,7,0.0,0,1970.0,2.0,0.0
1975,10057,2,7,0.0,0,1967.0,0.0,0.0
1975,10058,3,20,0.0,0,1971.0,1.0,0.0
1975,10059,3,1,0.0,0,1968.0,1.0,0.0
1975,10060,3,16,0.0,0,1975.0,1.0,0.0
1975,10061,1,22,0.0,0,1967.0,1.0,0.0
1975,10061,1,22,0.0,0,1968.0,0.0,0.0
1975,10062,1,21,0.0,0,1974.0,0.0,0.0
1975,10062,1,21,0.0,0,1966.0,1.0,0.0
1975,10063,1,2,0.0,0,1967.0,1.0,0.0
1975,10064,1,1,0.0,2,1970.0,0.0,1.0
1975,10065,2,1,0.0,0,1967.0,1.0,0.0
1975,10066,3,3,0.0,0,1971.0,0.0,0.0
1975,10066,3,3,0.0,0,1970.0,1.0,0.0
1975,10067,2,13,0.0,0,1967.0,0.0,0.0
1975,10067,2,13,0.0,0,1971.0,1.0,0.0
1975,10068,9,16,0.0,0,1970.0,0.0,0.0
1975,10068,9,16,0.0,0,1965.0,1.0,0.0
1975,10068,9,16,0.0,0,1974.0,0.0,0.0
1975,10069,2,2,0.0,0,1969.0,1.0,0.0
1975,10070,2,21,0.0,0,1972.0,0.0,0.0
1975,10070,2,21,0.0,0,1972.0,1.0,0.0
1975,10071,1,3,0.0,0,1970.0,1.0,0.0
1975,10072,3,20,0.0,0,1972.0,0.0,0.0
1975,10073,3,14,0.0,0,1972.0,2.0,0.0
1975,10074,3,12,0.0,0,1963.0,0.0,0.0
1975,10074,3,12,0.0,0,1967.0,1.0,0.0
1975,10075,2,2,0.0,0,1971.0,1.0,0.0
1975,10075,2,2,0.0,0,1965.0,0.0,0.0
1975,10076,1,24,0.0,0,1962.0,0.0,0.0
1975,10076,1,24,0.0,0,1975.0,1.0,0.0
1975,10077,1,20,0.0,0,1967.0,0.0,0.0
1975,10077,1,20,0.0,0,1968.0,1.0,0.0
1975,10079,1,21,0.0,0,1969.0,1.0,0.0
1975,10080,2,16,0.0,0,1974.0,1.0,0.0
1975,10081,3,1,0.0,0,1974.0,1.0,0.0
1975,10081,3,1,0.0,0,1969.0,0.0,0.0
1975,10082,2,6,0.0,0,1965.0,1.0,0.0
1975,10083,2,18,0.0,0,1968.0,1.0,0.0
1975,10084,2,10,0.0,0,1957.0,1.0,0.0
1975,10084,2,10,0.0,0,1974.0,0.0,0.0
1975,10084,2,10,0.0,0,1960.0,0.0,0.0
1975,10085,3,4,0.0,0,1966.0,5.0,0.0
1975,10086,3,10,0.0,0,1970.0,0.0,0.0
1975,10086,3,10,0.0,0,1970.0,1.0,0.0
1975,10086,3,10,0.0,0,1974.0,0.0,0.0
1975,10087,3,2,0.0,0,1969.0,1.0,0.0
1975,10088,2,20,0.0,0,1971.0,1.0,0.0
1975,10089,3,20,0.0,0,1973.0,1.0,0.0
1975,10090,1,12,0.0,0,1964.0,1.0,0.0
1975,10091,3,18,0.0,0,1973.0,1.0,0.0
1975,10092,3,21,0.0,0,1964.0,1.0,0.0
1975,10093,2,19,0.0,0,1972.0,0.0,0.0
1975,10093,2,19,0.0,0,1973.0,1.0,0.0
1975,10094,7,12,0.0,0,1974.0,0.0,0.0
1975,10094,7,12,0.0,0,1973.0,1.0,0.0
1975,10095,4,15,0.0,0,1966.0,0.0,1.0
1975,10096,1,22,0.0,0,1966.0,0.0,0.0
1975,10097,2,21,0.0,0,1970.0,0.0,0.0
1975,10097,2,21,0.0,0,1971.0,1.0,0.0
1975,10098,1,2,0.0,0,1968.0,0.0,0.0
1975,10098,1,2,0.0,0,1970.0,1.0,0.0
1975,10099,1,10,0.0,0,1972.0,1.0,0.0
1975,10100,1,19,0.0,0,1972.0,0.0,0.0
1975,10101,4,17,0.0,0,1970.0,1.0,0.0
1975,10101,4,17,0.0,0,1972.0,0.0,0.0
1975,10102,2,8,0.0,0,1971.0,0.0,0.0
1975,10103,1,1,0.0,0,1963.0,0.0,0.0
1975,10103,1,1,0.0,0,1974.0,1.0,0.0
1975,10104,2,17,0.0,0,1970.0,0.0,0.0
1975,10105,2,24,0.0,0,1974.0,0.0,0.0
1975,10106,5,23,0.0,0,1971.0,0.0,0.0
1975,10107,1,24,0.0,0,1965.0,0.0,0.0
1975,10107,1,24,0.0,0,1960.0,1.0,0.0
1975,10108,2,18,0.0,0,1973.0,1.0,0.0
1975,10109,2,11,0.0,0,1971.0,2.0,0.0
1975,10109,2,11,0.0,0,1969.0,0.0,0.0
1975,10110,1,18,0.0,0,1969.0,1.0,0.0
1975,10110,1,18,0.0,0,1975.0,0.0,0.0
1975,10111,3,2,0.0,0,1971.0,0.0,0.0
1975,10112,2,13,0.0,0,1974.0,1.0,0.0
1975,10113,2,19,0.0,0,1963.0,1.0,0.0
1975,10113,2,19,0.0,0,1962.0,0.0,0.0
1975,10114,3,24,0.0,0,1973.0,1.0,0.0
1975,10115,3,23,0.0,0,1968.0,1.0,0.0
1975,10116,2,1,0.0,0,1970.0,1.0,0.0
1975,10117,2,19,0.0,0,1970.0,1.0,0.0
1975,10118,4,20,0.0,0,1965.0,1.0,0.0
1975,10118,4,20,0.0,0,1967.0,0.0,0.0
1975,10119,4,1,0.0,0,1970.0,0.0,0.0
1975,10119,4,1,0.0,0,1970.0,1.0,0.0
1975,10120,3,3,0.0,0,1974.0,0.0,0.0
1975,10121,4,21,0.0,0,1968.0,0.0,0.0
1975,10121,4,21,0.0,0,1972.0,1.0,0.0
1975,10122,3,18,0.0,0,1969.0,0.0,0.0
1975,10122,3,18,0.0,0,1964.0,1.0,0.0
1975,10123,1,3,0.0,0,1965.0,1.0,0.0
1975,10124,3,12,0.0,0,1970.0,1.0,0.0
1975,10125,8,17,0.0,0,1975.0,0.0,0.0
1975,10125,8,17,0.0,0,1965.0,1.0,1.0
1975,10126,4,15,0.0,0,1968.0,1.0,0.0
1975,10126,4,15,0.0,0,1971.0,0.0,0.0
1975,10126,4,15,0.0,0,1965.0,0.0,0.0
1975,10127,1,18,0.0,0,1966.0,0.0,0.0
1975,10128,2,22,0.0,0,1972.0,2.0,0.0
1975,10129,1,10,0.0,0,1967.0,1.0,0.0
1975,10130,2,12,0.0,0,1966.0,1.0,0.0
1975,10131,4,14,0.0,0,1973.0,0.0,0.0
1975,10131,4,14,0.0,0,1964.0,0.0,0.0
1975,10131,4,14,0.0,0,1973.0,0.0,0.0
1975,10131,4,14,0.0,0,1971.0,1.0,0.0
1975,10132,5,4,0.0,0,1967.0,0.0,0.0
1975,10132,5,4,0.0,0,1973.0,1.0,0.0
1975,10133,3,2,0.0,0,1974.0,0.0,0.0
1975,10133,3,2,0.0,0,1970.0,1.0,0.0
1975,10134,2,18,0.0,0,1968.0,1.0,0.0
1975,10135,6,19,0.0,0,1973.0,0.0,0.0
1975,10135,6,19,0.0,0,1974.0,1.0,0.0
1975,10136,1,1,0.0,0,1972.0,2.0,0.0
1975,10137,1,11,0.0,0,1974.0,0.0,0.0
1975,10137,1,11,0.0,0,1974.0,3.0,0.0
1975,10138,3,17,0.0,0,1969.0,0.0,0.0
1975,10138,3,17,0.0,0,1972.0,1.0,0.0
1975,10139,1,18,0.0,0,1974.0,0.0,0.0
1975,10139,1,18,0.0,0,1974.0,1.0,0.0
1975,10140,5,7,0.0,0,1968.0,1.0,0.0
1975,10141,1,22,0.0,0,1974.0,1.0,0.0
1975,10142,1,5,0.0,0,1969.0,1.0,0.0
1975,10142,1,5,0.0,0,1967.0,0.0,0.0
1975,10143,3,13,0.0,0,1961.0,2.0,0.0
1975,10144,5,3,0.0,0,1970.0,1.0,0.0
1975,10145,2,20,0.0,0,1968.0,0.0,0.0
1975,10146,2,17,0.0,0,1970.0,0.0,0.0
1975,10146,2,17,0.0,0,1971.0,1.0,0.0
1975,10147,3,24,0.0,0,1972.0,0.0,0.0
1975,10147,3,24,0.0,0,1971.0,1.0,0.0
1975,10148,3,13,0.0,0,1968.0,1.0,0.0
1975,10148,3,13,0.0,0,1970.0,0.0,0.0
1975,10149,2,1,0.0,0,1969.0,0.0,0.0
1975,10150,2,1,0.0,0,1966.0,0.0,1.0
1975,10150,2,1,0.0,0,1969.0,1.0,0.0
1975,10151,3,7,0.0,0,1964.0,0.0,0.0
1975,10151,3,7,0.0,0,1968.0,1.0,0.0
1975,10152,4,19,0.0,0,1974.0,1.0,0.0
1975,10152,4,19,0.0,0,1970.0,0.0,0.0
1975,10153,2,14,0.0,0,1974.0,0.0,0.0
