YEAR,ST_CASE,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1982,10001,2,19,130,78.0,0,0,1972.0,2,0
1982,10002,2,23,285S,38944.0,0,0,1969.0,1,0
1982,10003,1,12,285N,38944.0,0,0,1970.0,1,1
1982,10004,1,1,15,36.0,0,0,1980.0,2,1
1982,10005,2,15,285W,38944.0,0,2,1966.0,0,1
1982,10006,1,4,75S,38944.0,0,0,1978.0,1,1
1982,10007,2,6,285S,38944.0,0,0,1979.0,1,1
1982,10008,2,8,85S,38944.0,0,0,1973.0,0,0
1982,10008,2,8,85S,38944.0,0,0,1978.0,1,0
1982,10009,1,14,20,203.0,0,0,1979.0,1,0
1982,10010,2,23,S938,38944.0,0,0,1977.0,0,0
1982,10010,2,23,S938,38944.0,0,0,1975.0,1,0
1982,10011,2,22,77,161.0,0,0,1972.0,0,0
1982,10011,2,22,77,161.0,0,0,1977.0,1,0
1982,10012,2,22,9,256.0,0,0,1981.0,1,0
1982,10012,2,22,9,256.0,0,0,1980.0,0,0
1982,10013,3,17,S756,38944.0,0,0,1969.0,0,0
1982,10014,4,23,33,38944.0,0,2,1972.0,0,1
1982,10015,2,17,86,38944.0,0,0,1973.0,1,1
1982,10016,3,3,42,38944.0,0,0,1981.0,1,1
1982,10017,2,1,403,38944.0,0,0,1974.0,1,0
1982,10018,1,21,CROSSGATE,38944.0,0,0,1981.0,1,0
1982,10019,2,12,402,241.0,0,0,1975.0,1,0
1982,10020,6,19,PRESIDENT,38944.0,0,0,1976.0,0,0
1982,10021,2,23,15,112.0,0,0,1981.0,1,0
1982,10021,2,23,15,112.0,0,0,1977.0,0,0
1982,10022,1,23,212,70.0,0,0,1973.0,1,0
1982,10023,2,20,34,38944.0,0,0,1968.0,1,0
1982,10024,2,15,21,144.0,0,0,1972.0,2,1
1982,10025,2,20,185,38944.0,0,0,1981.0,1,0
1982,10026,1,11,85,38944.0,0,0,1973.0,1,0
