YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1991,10001,0,4,2,I75,3173.0,0,0,1989.0,1,0
1991,10002,0,1,8,307,87.0,0,0,1976.0,0,0
1991,10002,0,1,8,307,87.0,0,0,1985.0,0,0
1991,10002,0,1,8,307,87.0,0,0,1989.0,1,0
1991,10002,0,1,8,307,87.0,0,0,1987.0,1,0
1991,10002,0,1,8,307,87.0,0,0,1989.0,0,0
1991,10003,0,1,16,670,2.0,0,0,1981.0,1,1
1991,10004,0,2,18,SR3,21.0,0,0,1976.0,1,1
1991,10005,1,2,16,120L0,78.0,0,0,1984.0,0,1
1991,10005,1,2,16,120L0,78.0,0,0,1988.0,1,0
1991,10006,0,1,2,247,22.0,0,0,1978.0,1,1
1991,10007,0,4,16,SR3,154.0,0,0,1982.0,0,0
1991,10007,0,4,16,SR3,154.0,0,0,1989.0,3,0
1991,10008,0,3,24,SR520,210.0,0,0,1984.0,1,1
1991,10009,0,2,17,310,2423.0,0,0,1987.0,1,0
1991,10010,0,1,23,122,59.0,0,0,1990.0,1,0
1991,10011,0,6,11,154,39.0,0,0,1976.0,1,1
1991,10011,0,6,11,154,39.0,0,0,1991.0,0,0
1991,10012,1,2,3,SR1,34.0,0,0,1984.0,1,1
1991,10013,0,2,20,141,0.0,0,0,1973.0,0,0
1991,10014,0,1,19,I20,1379.0,0,1,1977.0,0,1
1991,10014,0,1,19,I20,1379.0,0,1,1987.0,1,0
1991,10015,0,2,11,I75,204.0,0,0,1987.0,1,0
1991,10016,0,1,16,SR3,133.0,0,0,1978.0,0,1
1991,10016,0,1,16,SR3,133.0,0,0,1989.0,1,0
1991,10017,0,4,23,SR5,39.0,0,0,1989.0,0,1
1991,10017,0,4,23,SR5,39.0,0,0,1988.0,1,0
1991,10018,2,3,3,SR10,159.0,0,0,1991.0,1,0
1991,10019,0,1,2,215,44.0,0,0,1974.0,0,0
1991,10019,0,1,2,215,44.0,0,0,1990.0,1,0
1991,10020,0,2,17,39,143.0,0,0,1977.0,1,0
1991,10020,0,2,17,39,143.0,0,0,1989.0,0,0
1991,10021,1,2,12,SR11,179.0,0,0,1978.0,1,1
1991,10022,0,2,3,11,33.0,0,0,1990.0,2,0
1991,10022,0,2,3,11,33.0,0,0,1986.0,0,0
1991,10023,0,2,7,111,11.0,0,0,1963.0,1,0
1991,10024,0,3,17,SR5,62.0,0,0,1982.0,1,0
1991,10025,0,2,10,SR400,199.0,0,0,1970.0,1,0
1991,10026,0,1,1,I75,2517.0,0,0,1989.0,0,0
1991,10027,0,1,12,586,0.0,0,0,1979.0,1,1
1991,10028,0,2,22,348,84.0,0,0,1985.0,1,0
1991,10028,0,2,22,348,84.0,0,0,1983.0,0,0
1991,10028,0,2,22,348,84.0,0,0,1990.0,0,0
1991,10028,0,2,22,348,84.0,0,0,1979.0,0,0
1991,10029,1,2,15,111,34.0,0,0,1984.0,1,1
1991,10030,0,2,17,I75,2088.0,0,0,1985.0,1,0
1991,10030,0,2,17,I75,2088.0,0,0,1985.0,0,0
1991,10031,0,1,23,219,17.0,0,0,1984.0,0,0
1991,10032,0,2,24,2050,9.0,0,0,1989.0,1,0
1991,10033,0,3,8,139,26.0,0,2,1999.0,0,0
1991,10033,0,3,8,139,26.0,0,2,1990.0,0,0
1991,10033,0,3,8,139,26.0,0,2,1978.0,0,0
1991,10034,0,4,14,155,192.0,0,0,1984.0,1,1
1991,10035,0,5,18,SR27,67.0,0,0,1974.0,1,1
1991,10036,0,2,22,13,112.0,0,0,1982.0,0,1
1991,10036,0,2,22,13,112.0,0,0,1980.0,0,0
1991,10038,0,3,16,36,172.0,0,0,1986.0,0,0
1991,10039,0,2,20,187,1.0,0,0,1989.0,0,0
1991,10039,0,2,20,187,1.0,0,0,1988.0,1,0
1991,10040,0,2,24,620,32.0,0,0,1977.0,1,0
1991,10041,0,1,8,226,2.0,0,0,1976.0,1,0
1991,10041,0,1,8,226,2.0,0,0,1979.0,0,0
1991,10042,0,1,13,SR1,137.0,0,0,1980.0,1,0
1991,10043,0,3,15,724,20.0,0,0,1984.0,2,0
1991,10043,0,3,15,724,20.0,0,0,1986.0,2,0
1991,10043,0,3,15,724,20.0,0,0,1989.0,0,0
1991,10044,0,2,16,SR12,44.0,0,0,1973.0,1,1
1991,10045,0,4,14,74,245.0,0,0,1989.0,1,0
1991,10046,0,1,22,73,46.0,0,0,1984.0,0,0
1991,10046,0,1,22,73,46.0,0,0,1981.0,1,0
1991,10047,1,3,16,59,4.0,0,0,1986.0,1,0
1991,10047,1,3,16,59,4.0,0,0,1989.0,0,0
1991,10048,0,3,7,SR101,81.0,0,0,1987.0,0,0
1991,10048,0,3,7,SR101,81.0,0,0,1979.0,1,1
1991,10048,0,3,7,SR101,81.0,0,0,1989.0,0,0
1991,10050,0,1,16,235,4.0,0,0,1967.0,1,1
1991,10051,0,2,20,88,26.0,0,0,1987.0,1,0
1991,10051,0,2,20,88,26.0,0,0,1986.0,0,0
1991,10052,0,3,13,389,35.0,0,0,1984.0,1,0
