YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2001,10001,0,2,21,I-75 (SR 401),124.0,0,1,1997.0,1,0
2001,10002,0,4,10,I-75 (SR 401),12.0,0,1,1994.0,0,0
2001,10003,0,2,14,US-25 (SR 23),106.0,0,1,1992.0,0,0
2001,10004,0,2,1,237,30.0,0,1,1987.0,1,0
2001,10004,0,2,1,237,30.0,0,0,1989.0,0,0
2001,10005,0,1,2,I-475 (SR 408),12.0,0,1,1978.0,0,0
2001,10006,0,2,15,US-41 (SR 3),56.0,0,0,2000.0,0,0
2001,10007,1,3,9,I-20(SR402),156.0,0,0,1996.0,0,0
2001,10007,1,3,9,I-20(SR402),156.0,0,1,1998.0,0,0
2001,10008,0,2,23,SR-61,148.0,0,1,1994.0,0,0
2001,10008,0,2,23,SR-61,148.0,0,0,1988.0,0,0
2001,10009,0,4,15,I-285 (SR 407),117.0,0,1,1992.0,0,0
2001,10009,0,4,15,I-285 (SR 407),117.0,0,1,1993.0,0,0
2001,10010,1,3,19,392,59.0,0,1,1999.0,0,0
2001,10010,1,3,19,392,59.0,0,0,1995.0,0,0
2001,10011,1,2,21,I-75 (SR 401),89.0,0,1,1986.0,0,0
2001,10012,0,2,17,SR-60,217.0,0,1,1990.0,0,0
2001,10013,0,2,6,US-41 (SR 3),95.0,0,1,1993.0,0,0
2001,10014,0,1,18,6580,1.0,0,1,1989.0,0,0
2001,10015,0,2,16,SR-108,77.0,0,1,1980.0,1,0
2001,10016,0,2,8,SR-88,106.0,0,1,1986.0,1,0
2001,10017,0,3,19,38,56.0,0,1,1994.0,0,0
2001,10018,0,1,2,236,4.0,0,1,1985.0,0,0
2001,10019,0,1,24,2555,5.0,0,2,1984.0,0,0
2001,10019,0,1,24,2555,5.0,0,0,1995.0,0,0
2001,10020,0,2,13,1782,45.0,0,1,1996.0,0,0
2001,10021,0,2,17,I-85(SR403),51.0,0,0,1996.0,0,0
2001,10021,0,2,17,I-85(SR403),51.0,0,1,1990.0,0,0
2001,10022,0,4,6,US-301(SR73),43.0,0,1,1994.0,1,0
2001,10023,0,1,16,US-82(SR520),178.0,0,2,1992.0,0,0
2001,10023,0,1,16,US-82(SR520),178.0,0,0,1997.0,0,0
2001,10023,0,1,16,US-82(SR520),178.0,0,0,1990.0,0,0
2001,10024,0,1,13,946,2.0,0,1,1989.0,0,0
2001,10024,0,1,13,946,2.0,0,0,1999.0,1,0
2001,10025,0,5,13,I-16 (SR 404),80.0,0,1,1997.0,0,0
2001,10026,0,2,21,SR-9,66.0,0,1,1991.0,0,0
2001,10027,0,2,2,SR-56,307.0,0,1,1997.0,1,0
2001,10028,0,3,9,53,0.0,0,1,1981.0,0,0
2001,10029,1,2,4,SR-141,2.0,0,1,1986.0,0,0
2001,10029,1,2,4,SR-141,2.0,0,0,1997.0,0,0
2001,10030,0,1,10,SR-166,125.0,0,1,1994.0,0,0
2001,10030,0,1,10,SR-166,125.0,0,0,2000.0,0,0
2001,10031,0,4,7,SR-52,231.0,0,1,1998.0,0,0
2001,10031,0,4,7,SR-52,231.0,0,0,1989.0,0,0
2001,10032,0,6,1,I-20 (SR 402),56.0,0,1,2001.0,0,0
2001,10033,0,1,11,558,1.0,0,0,1993.0,0,2
2001,10034,0,2,7,US-82(SR520),177.0,0,1,1990.0,0,0
2001,10034,0,2,7,US-82(SR520),177.0,0,0,1994.0,0,0
2001,10035,0,2,17,SR-32,32.0,0,0,1996.0,0,0
2001,10035,0,2,17,SR-32,32.0,0,1,1992.0,0,0
2001,10036,0,2,7,272,111.0,0,1,1988.0,0,0
2001,10037,0,2,21,5175,0.0,0,1,1993.0,0,0
2001,10038,1,4,2,I-20 (SR 402),88.0,0,2,1997.0,0,0
2001,10039,0,3,23,US-441(SR15),159.0,0,1,1993.0,0,0
2001,10040,0,4,15,US-76(SR515),129.0,0,0,1994.0,0,0
2001,10040,0,4,15,US-76(SR515),129.0,0,1,1993.0,0,0
2001,10041,0,3,14,US-78(SR10),76.0,0,1,1990.0,0,0
2001,10042,0,1,20,SR-135,101.0,0,1,1984.0,0,0
2001,10043,0,1,7,SR-36,48.0,0,1,1990.0,0,0
2001,10043,0,1,7,SR-36,48.0,0,0,1992.0,0,0
2001,10044,0,1,10,SR-42,144.0,0,1,1996.0,0,0
2001,10044,0,1,10,SR-42,144.0,0,0,1984.0,0,0
2001,10045,0,2,1,WIEUCA RD NW,4.0,0,1,1992.0,0,0
2001,10046,0,4,8,196,12.0,0,1,1989.0,0,0
2001,10046,0,4,8,196,12.0,0,0,1991.0,0,0
2001,10046,0,4,8,196,12.0,0,0,1989.0,0,0
2001,10047,0,9,13,SR-22,221.0,0,1,1994.0,0,0
2001,10047,0,9,13,SR-22,221.0,0,0,1996.0,0,0
2001,10048,0,4,15,US-1 (SR 4),187.0,0,1,1991.0,0,0
2001,10048,0,4,15,US-1 (SR 4),187.0,0,1,1990.0,0,0
2001,10049,0,2,17,I-75(SR401),39.0,0,2,1989.0,0,0
2001,10049,0,2,17,I-75(SR401),39.0,0,0,1999.0,0,0
2001,10050,1,2,6,I-85 (SR 403),39.0,0,1,1974.0,1,0
2001,10051,0,3,14,SR-53,112.0,0,1,1999.0,0,0
2001,10051,0,3,14,SR-53,112.0,0,0,1998.0,0,0
2001,10052,0,3,9,SR-26,45.0,0,1,1996.0,0,0
2001,10053,1,4,6,15,63.0,0,0,1991.0,0,0
2001,10054,0,3,12,2250,0.0,0,1,2000.0,0,0
2001,10055,0,2,12,28,72.97602739726027,0,1,1989.0,0,0
2001,10056,0,6,10,US-23 (SR 365),290.0,0,1,1975.0,1,0
2001,10057,0,1,6,45,72.97602739726027,0,1,1993.0,0,0
2001,10057,0,1,6,45,72.97602739726027,0,0,1988.0,0,0
2001,10058,0,2,15,SR-138,68.0,0,1,1975.0,0,0
2001,10059,0,4,15,SR-162,43.0,0,0,1992.0,1,0
2001,10059,0,4,15,SR-162,43.0,0,1,1997.0,0,0
2001,10060,0,4,13,RHYTHM DR,72.97602739726027,0,0,1993.0,0,2
2001,10061,0,3,8,SR-4AL,6.0,0,1,1998.0,0,0
2001,10062,0,5,24,I-75 (SR 401),75.0,0,0,1992.0,0,0
2001,10062,0,5,24,I-75 (SR 401),75.0,0,0,1990.0,0,0
2001,10062,0,5,24,I-75 (SR 401),75.0,0,1,1989.0,0,0
2001,10063,0,5,11,SR-125,72.0,0,0,1988.0,0,0
