YEAR,ST_CASE,NUM_PEDS,NUM_VEHC,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,LATITUDE,LONGITUD,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2008,10001,0,1,1,18,SR-253,158.0,30.96325833,-84.56805556,0,0,2006.0,0,0
2008,10002,0,2,5,17,SR-14 AL,105.0,33.60411111,-84.53812222,0,1,2003.0,0,0
2008,10002,0,2,5,17,SR-14 AL,105.0,33.60411111,-84.53812222,0,0,2000.0,0,0
2008,10003,0,2,3,13,SR-120,32.0,33.76758889,-85.24261944,0,1,2001.0,1,0
2008,10004,0,1,1,1,SR-104,68.0,33.557275,-82.16048333,0,1,1993.0,0,0
2008,10005,0,2,4,1,I-85,43.0,33.54704722,-84.57475,0,0,2001.0,1,0
2008,10006,0,2,3,19,SR-141,281.65259230612963,34.05434722,-84.17459444,0,1,2005.0,0,0
2008,10007,2,1,3,21,BUENA VISTA BLVD,53.0,32.466875,-84.91466111,0,0,2000.0,0,0
2008,10007,2,1,3,21,BUENA VISTA BLVD,53.0,32.466875,-84.91466111,0,1,2005.0,0,0
2008,10008,0,1,2,15,I-185,123.0,33.04036389,-84.95045278,0,1,2007.0,0,0
2008,10008,0,1,2,15,I-185,123.0,33.04036389,-84.95045278,0,0,1998.0,0,0
2008,10009,0,1,1,15,NEW MORN RD,3.0,33.40570556,-84.23640556,0,0,1992.0,0,2
2008,10009,0,1,1,15,NEW MORN RD,3.0,33.40570556,-84.23640556,0,0,1984.0,0,2
2008,10010,0,1,1,19,MILLER RD,4.0,32.52353056,-84.91903889,0,1,2006.0,1,0
2008,10011,0,1,1,9,SR-288,232.0,34.93216667,-83.77067778,0,1,1994.0,0,0
2008,10012,0,2,4,21,I-75,119.0,32.84099167,-83.64607222,0,2,1990.0,0,0
2008,10012,0,2,4,21,I-75,119.0,32.84099167,-83.64607222,0,0,2007.0,0,0
2008,10013,0,2,2,15,MAIN ST,63.0,34.06421667,-84.66944722,0,0,2003.0,0,0
2008,10013,0,2,2,15,MAIN ST,63.0,34.06421667,-84.66944722,0,1,1999.0,0,0
2008,10014,0,1,1,4,I-85,71.0,33.570175,-84.53136111,0,1,1990.0,1,0
2008,10015,0,1,1,1,PINEY GROVE RD,281.65259230612963,35.44645677888971,-97.98729029729091,0,0,2007.0,0,0
2008,10016,1,3,4,21,GLENWOOD RD,53.0,33.73734722,-84.23463056,0,1,1990.0,0,0
2008,10017,0,1,1,8,SR-219,61.0,32.49452222,-84.98028333,0,1,1990.0,0,0
2008,10017,0,1,1,8,SR-219,61.0,32.49452222,-84.98028333,0,0,2004.0,0,0
2008,10018,0,2,2,7,SR-31,2.0,31.40593889,-82.85023889,0,1,1991.0,0,0
2008,10019,0,1,1,1,WESLEY CHAPEL RD,52.0,33.88183611,-83.07588889,0,3,2005.0,0,0
