YEAR,ST_CASE,STATENAME,NUM_PEDS,NUM_VEHC,PERSONS,MONTHNAME,DAYNAME,DAY_WEEKNAME,HOUR,ROAD_NAME,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,MILE_MARKER,LATITUDE,LONGITUD,HARM_EVNAME,COLLISION_TYPE,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LGT_CONDNAME,WEATHERNAME,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK,COUNTYNAME,CITYNAME
2015,10001,Georgia,1,1,2,November,9,Monday,19,SR-115,State Highway,Rural,Minor Arterial,State Highway Agency,72.0,34.59608333,-83.77376389,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Rain,0,0,2003.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10002,Georgia,0,1,1,November,10,Tuesday,23,CR-61 / LAMAR RD,County Road,Urban,Minor Collector,County Highway Agency,26.0,32.86583333,-83.78326944,Bridge Rail (Includes parapet),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,0,0,2006.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10003,Georgia,1,2,5,November,10,Tuesday,21,I-75,Interstate,Rural,Interstate,State Highway Agency,50.0,30.67738611,-83.21974444,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Dark - Not Lighted,Cloudy,0,0,2008.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10004,Georgia,0,2,6,November,11,Wednesday,15,I-20,Interstate,Urban,Interstate,State Highway Agency,21.0,33.68556111,-85.12658889,Motor Vehicle In-Transport,Sideswipe - Same Direction,Not an Intersection,On Roadway,,Daylight,Clear,0,0,2005.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10005,Georgia,1,1,1,November,11,Wednesday,19,SR-138 SP / NORTH AVE,State Highway,Urban,Minor Arterial,County Highway Agency,2.0,33.53269722,-84.3679,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2006.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10005,Georgia,1,1,1,November,11,Wednesday,19,SR-138 SP / NORTH AVE,State Highway,Urban,Minor Arterial,County Highway Agency,2.0,33.53269722,-84.3679,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2015.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10006,Georgia,0,2,2,November,11,Wednesday,1,ARIZONA AVE,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,0.0,33.75830278,-84.33135833,Fell/Jumped from Vehicle,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Lighted,Clear,0,0,2006.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10007,Georgia,0,1,1,November,11,Wednesday,12,I-985,Interstate,Urban,Interstate,State Highway Agency,342.29392173189007,34.05320556,-84.025475,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Daylight,Clear,0,0,2002.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10008,Georgia,1,1,1,November,12,Thursday,19,US-278 / COVINGTON HWY,U.S. Highway,Urban,Minor Arterial,State Highway Agency,77.0,33.71836389,-84.15014722,Pedestrian,Not a Collision with Motor Vehicle In-Transport,T-Intersection,On Roadway,,Dark - Lighted,Clear,0,1,2004.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10009,Georgia,0,2,2,November,12,Thursday,24,I-285,Interstate,Urban,Interstate,State Highway Agency,23.0,33.920325,-84.32668333,Motor Vehicle In-Transport,Front-to-Rear,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2000.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10010,Georgia,0,1,1,November,12,Thursday,13,SR-101,State Highway,Rural,Minor Arterial,State Highway Agency,7.0,33.829575,-84.97999167,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,Off Roadway-Location Unknown,,Daylight,Clear,0,0,2004.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10010,Georgia,0,1,1,November,12,Thursday,13,SR-101,State Highway,Rural,Minor Arterial,State Highway Agency,7.0,33.829575,-84.97999167,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,Off Roadway-Location Unknown,,Daylight,Clear,0,0,2003.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10011,Georgia,1,1,1,November,13,Friday,19,SR-54 CO / THURMOND RD,State Highway,Urban,Minor Arterial,State Highway Agency,5.0,33.64010556,-84.35501389,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2005.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10011,Georgia,1,1,1,November,13,Friday,19,SR-54 CO / THURMOND RD,State Highway,Urban,Minor Arterial,State Highway Agency,5.0,33.64010556,-84.35501389,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2002.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10012,Georgia,1,1,1,November,13,Friday,20,I-75,Interstate,Rural,Interstate,State Highway Agency,60.0,30.69483611,-83.23954444,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,1997.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10012,Georgia,1,1,1,November,13,Friday,20,I-75,Interstate,Rural,Interstate,State Highway Agency,60.0,30.69483611,-83.23954444,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2003.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10012,Georgia,1,1,1,November,13,Friday,20,I-75,Interstate,Rural,Interstate,State Highway Agency,60.0,30.69483611,-83.23954444,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2010.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10013,Georgia,0,1,1,November,14,Saturday,22,CR-44 / ICE PLANT RD,County Road,Rural,Local,County Highway Agency,31.0,31.39496389,-83.03121944,Other Object (not fixed),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Dark - Not Lighted,Clear,0,0,2007.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10014,Georgia,0,2,2,November,14,Saturday,6,US-411 / SR-61,U.S. Highway,Rural,Minor Arterial,State Highway Agency,179.0,34.29553889,-84.73309722,Motor Vehicle In-Transport,Angle,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,1999.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10015,Georgia,1,1,1,November,14,Saturday,18,I-285,Interstate,Urban,Interstate,State Highway Agency,47.0,33.87252222,-84.47610278,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,,Dark - Lighted,Clear,0,0,2004.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10016,Georgia,0,2,3,November,16,Monday,18,SR-33,State Highway,Urban,Minor Arterial,State Highway Agency,46.0,31.10344167,-83.77864722,Motor Vehicle In-Transport,Angle,Four-Way Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,1999.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10016,Georgia,0,2,3,November,16,Monday,18,SR-33,State Highway,Urban,Minor Arterial,State Highway Agency,46.0,31.10344167,-83.77864722,Motor Vehicle In-Transport,Angle,Four-Way Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,1998.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10017,Georgia,0,1,3,October,2,Friday,13,SR-122,State Highway,Rural,Minor Arterial,State Highway Agency,342.29392173189007,30.95989722,-83.740425,Curb,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Daylight,Clear,0,0,2008.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10018,Georgia,0,2,2,October,15,Thursday,17,CR-849,County Road,Rural,Minor Collector,State Highway Agency,13.0,34.20725,-83.69544722,Motor Vehicle In-Transport,Angle,Four-Way Intersection,On Roadway,,Daylight,Clear,0,0,1992.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10019,Georgia,0,2,2,October,19,Monday,16,CR-KOWETA ROAD,County Road,Urban,Minor Collector,County Highway Agency,9.0,33.607525,-84.57059722,Motor Vehicle In-Transport,Front-to-Rear,Not an Intersection,On Roadway,Construction,Daylight,Clear,0,0,2002.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10020,Georgia,0,2,2,October,20,Tuesday,15,SR-61,State Highway,Urban,Principal Arterial - Other,State Highway Agency,109.0,34.21106944,-84.79688333,Motor Vehicle In-Transport,Front-to-Front,T-Intersection,On Roadway,Construction,Daylight,Clear,0,0,2006.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10020,Georgia,0,2,2,October,20,Tuesday,15,SR-61,State Highway,Urban,Principal Arterial - Other,State Highway Agency,109.0,34.21106944,-84.79688333,Motor Vehicle In-Transport,Front-to-Front,T-Intersection,On Roadway,Construction,Daylight,Clear,0,0,1993.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10021,Georgia,0,2,2,October,28,Wednesday,16,SR-369,State Highway,Urban,Minor Arterial,State Highway Agency,33.0,37.74210318405405,-99.4177755663116,Motor Vehicle In-Transport,Front-to-Rear,T-Intersection,On Roadway,,Daylight,Cloudy,0,0,2014.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10021,Georgia,0,2,2,October,28,Wednesday,16,SR-369,State Highway,Urban,Minor Arterial,State Highway Agency,33.0,37.74210318405405,-99.4177755663116,Motor Vehicle In-Transport,Front-to-Rear,T-Intersection,On Roadway,,Daylight,Cloudy,0,0,2007.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10022,Georgia,0,2,7,November,14,Saturday,21,CR-J. FRANK CULPEPPER ROAD,County Road,Rural,Local,County Highway Agency,60.0,30.6926,-83.12921944,Motor Vehicle In-Transport,Front-to-Front,Not an Intersection,On Roadway,,Dark - Not Lighted,Clear,0,0,2002.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10023,Georgia,1,1,1,November,14,Saturday,23,DEANS BRIDGE ROAD,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,153.0,33.40701944,-82.09868611,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadway,Construction,Dark - Not Lighted,Clear,0,0,2003.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10024,Georgia,0,1,2,November,15,Sunday,14,CR-MARBLE MILL ROAD,County Road,Urban,Local,County Highway Agency,0.0,33.97722778,-84.56610833,Tree (Standing Only),Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Daylight,Clear,0,0,2003.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10025,Georgia,0,2,1,November,16,Monday,17,CR-SHERWOOD LOOP,County Road,Urban,Local,County Highway Agency,5.0,33.43941944,-84.18413056,Mail Box,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Daylight,Clear,0,0,2007.0,2,1,NOT AVAILABLE,NOT AVAILABLE
2015,10026,Georgia,1,1,1,November,17,Tuesday,6,SR-11,State Highway,Urban,Principal Arterial - Other,State Highway Agency,153.0,32.870675,-83.61301667,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Four-Way Intersection,On Roadway,,Dark - Lighted,Clear,0,0,2002.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10027,Georgia,0,2,2,November,17,Tuesday,11,CR-MCFARLAND PARKWAY,County Road,Urban,Minor Arterial,County Highway Agency,23.0,34.11241944,-84.22186944,Motor Vehicle In-Transport,Angle,T-Intersection,On Roadway,,Daylight,Cloudy,0,0,2014.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10027,Georgia,0,2,2,November,17,Tuesday,11,CR-MCFARLAND PARKWAY,County Road,Urban,Minor Arterial,County Highway Agency,23.0,34.11241944,-84.22186944,Motor Vehicle In-Transport,Angle,T-Intersection,On Roadway,,Daylight,Cloudy,0,0,2012.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10028,Georgia,0,2,3,November,17,Tuesday,14,SR-316,State Highway,Urban,Principal Arterial - Other,State Highway Agency,109.0,33.98301111,-83.92613056,Motor Vehicle In-Transport,Angle,Four-Way Intersection,On Roadway,,Daylight,Clear,0,0,2001.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10029,Georgia,0,2,4,November,17,Tuesday,18,SR-2,State Highway,Rural,Principal Arterial - Other,State Highway Agency,0.0,34.87294722,-83.964575,Motor Vehicle In-Transport,Rear-to-Side,Four-Way Intersection,On Roadway,,Dark - Lighted,Cloudy,0,0,2005.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10030,Georgia,0,2,3,November,17,Tuesday,12,CR-DAWNVILLE ROAD,County Road,Rural,Major Collector,County Highway Agency,20.0,34.82374722,-84.87695,Motor Vehicle In-Transport,Front-to-Front,Not an Intersection,On Roadway,,Daylight,Cloudy,0,0,2014.0,4,0,NOT AVAILABLE,NOT AVAILABLE
2015,10030,Georgia,0,2,3,November,17,Tuesday,12,CR-DAWNVILLE ROAD,County Road,Rural,Major Collector,County Highway Agency,20.0,34.82374722,-84.87695,Motor Vehicle In-Transport,Front-to-Front,Not an Intersection,On Roadway,,Daylight,Cloudy,0,0,2014.0,1,0,NOT AVAILABLE,NOT AVAILABLE
2015,10031,Georgia,0,3,3,November,18,Wednesday,16,US-23(SR87),U.S. Highway,Urban,Minor Arterial,County Highway Agency,52.0,32.42610556,-83.36404722,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,Not an Intersection,On Roadway,,Daylight,Cloudy,0,0,2003.0,0,0,NOT AVAILABLE,NOT AVAILABLE
2015,10032,Georgia,0,1,1,November,18,Wednesday,22,CLARK BLUFF ROAD,Local Street - Municipality,Urban,Local,City or Municipal Highway Agency,25.0,30.775875,-81.74290278,Wall,Not a Collision with Motor Vehicle In-Transport,Not an Intersection,On Roadside,,Daylight,Clear,0,0,2006.0,1,1,NOT AVAILABLE,NOT AVAILABLE
2015,10033,Georgia,1,1,1,November,18,Wednesday,17,ABERCORN ST,Local Street - Municipality,Urban,Principal Arterial - Other,City or Municipal Highway Agency,219.0,32.03748611,-81.10494722,Pedestrian,Not a Collision with Motor Vehicle In-Transport,Four-Way Intersection,On Roadway,,Dark - Not Lighted,Rain,0,0,1998.0,2,1,NOT AVAILABLE,NOT AVAILABLE
